ChoraleID,EventNum,C,C#/Db,D,D#/Eb,E,F,F#/Gb,G,G#/Ab,A,A#/Bb,B,Bass,Meter,Chord
000106b_,1,True,False,False,False,False,True,False,False,False,True,False,False,F,3,F_M
000106b_,2,True,False,False,False,True,False,False,True,False,False,False,False,E,5,C_M
000106b_,3,True,False,False,False,True,False,False,True,False,False,False,False,E,2,C_M
000106b_,4,True,False,False,False,False,True,False,False,False,True,False,False,F,3,F_M
000106b_,5,True,False,False,False,False,True,False,False,False,True,False,False,F,2,F_M
000106b_,6,False,False,True,False,False,True,False,False,False,True,False,False,D,4,D_m
000106b_,7,False,False,True,False,False,True,False,False,False,True,False,False,D,2,D_m
000106b_,8,True,False,False,False,False,True,False,False,False,True,False,False,A,3,F_M
000106b_,9,True,False,False,False,False,True,False,False,False,True,False,False,A,2,F_M
000106b_,10,False,False,True,False,False,True,False,False,False,False,True,False,Bb,5,BbM
000106b_,11,False,False,True,False,False,True,False,False,False,False,True,False,Bb,1,BbM
000106b_,12,True,False,True,False,False,True,False,False,False,True,True,False,C,2,BbM
000106b_,13,True,False,True,False,False,True,False,True,False,False,True,False,C,1,BbM
000106b_,14,False,False,True,False,False,True,False,False,False,False,True,False,D,3,BbM
000106b_,15,False,False,True,False,True,True,False,True,False,False,True,False,E,2,BbM
000106b_,16,True,False,False,False,False,True,False,False,False,True,False,False,F,4,F_M
000106b_,17,True,False,False,False,False,True,False,False,False,True,False,False,F,3,F_M
000106b_,18,False,False,True,False,False,True,False,False,False,False,True,False,Bb,5,BbM
000106b_,19,False,False,True,False,False,True,False,True,False,False,True,False,Bb,2,BbM
000106b_,20,False,False,True,False,False,True,False,False,False,True,True,False,Bb,1,BbM
000106b_,21,False,False,False,False,True,False,False,True,False,True,True,False,A,3,C_M7
000106b_,22,True,False,False,False,True,False,False,True,False,False,True,False,G,2,C_M7
000106b_,23,False,False,False,False,True,False,False,True,False,False,True,False,G,1,C_M7
000106b_,24,True,False,False,False,False,True,False,False,False,True,False,False,A,4,F_M
000106b_,25,False,False,True,False,False,True,False,True,False,False,False,True,B,2,F_M
000106b_,26,True,False,False,False,True,False,False,True,False,False,False,False,C,3,C_M
000106b_,27,True,False,False,False,True,False,False,True,False,False,False,False,C,2,C_M
000106b_,28,True,False,True,False,False,True,False,False,False,True,False,False,F,5,D_m7
000106b_,29,False,False,True,False,True,True,False,False,False,True,False,True,F,2,D_m7
000106b_,30,False,False,True,False,True,True,False,False,False,True,False,False,F,1,D_m7
000106b_,31,False,False,True,False,False,False,False,True,False,False,False,True,G,3,G_M
000106b_,32,True,False,False,False,True,False,False,True,False,False,False,False,C,4,C_M
000106b_,33,True,False,False,False,False,True,False,False,False,True,False,False,F,3,F_M
000106b_,34,False,False,False,False,False,True,False,False,False,True,False,False,F,2,F_M
000106b_,35,False,False,True,False,False,True,False,False,False,False,True,False,Bb,5,BbM
000106b_,36,False,False,True,False,False,True,False,True,False,False,True,False,Bb,2,BbM
