chorale_id,st,pitch,dur,keysig,timesig,fermata
1,8,67,4,1,12,0
1,12,67,8,1,12,0
1,20,74,4,1,12,0
1,24,71,6,1,12,0
1,30,69,2,1,12,0
1,32,67,4,1,12,0
1,36,67,6,1,12,0
1,42,69,2,1,12,0
1,44,71,4,1,12,0
1,48,69,8,1,12,1
1,56,71,4,1,12,0
1,60,74,8,1,12,0
1,68,72,4,1,12,0
1,72,71,4,1,12,0
1,76,69,8,1,12,0
1,84,67,8,1,12,1
1,92,71,4,1,12,0
1,96,71,4,1,12,0
1,100,72,4,1,12,0
1,104,74,4,1,12,0
1,108,74,6,1,12,0
1,114,72,2,1,12,0
1,116,71,4,1,12,0
1,120,69,8,1,12,1
1,128,67,4,1,12,0
1,132,71,8,1,12,0
1,140,72,4,1,12,0
1,144,74,8,1,12,0
1,152,72,4,1,12,0
1,156,71,12,1,12,0
1,168,67,8,1,12,1
1,176,71,4,1,12,0
1,180,74,8,1,12,0
1,188,72,4,1,12,0
1,192,71,8,1,12,0
1,200,69,4,1,12,0
1,204,67,6,1,12,0
1,210,69,2,1,12,0
1,212,71,4,1,12,0
1,216,69,8,1,12,1
1,224,71,4,1,12,0
1,228,74,8,1,12,0
1,236,72,4,1,12,0
1,240,71,4,1,12,0
1,244,69,8,1,12,0
1,252,67,8,1,12,1
2,12,69,4,3,16,0
2,16,69,4,3,16,0
2,20,69,4,3,16,0
2,24,69,4,3,16,0
2,28,71,4,3,16,0
2,32,67,4,3,16,0
2,36,66,4,3,16,0
2,40,64,4,3,16,1
2,44,71,4,3,16,0
2,48,73,4,3,16,0
2,52,71,4,3,16,0
2,56,69,4,3,16,0
2,60,68,2,3,16,0
2,62,66,2,3,16,0
2,64,68,4,3,16,0
2,68,66,4,3,16,0
2,72,64,4,3,16,1
2,76,76,4,3,16,0
2,80,74,4,3,16,0
2,84,73,4,3,16,0
2,88,71,4,3,16,0
2,92,69,4,3,16,0
2,96,69,2,3,16,0
2,98,71,2,3,16,0
2,100,73,4,3,16,0
2,104,71,4,3,16,1
2,108,73,4,3,16,0
2,112,74,4,3,16,0
2,116,73,4,3,16,0
2,120,71,4,3,16,0
2,124,70,4,3,16,0
2,128,71,12,3,16,1
2,140,64,4,3,16,0
2,144,69,4,3,16,0
2,148,71,4,3,16,0
2,152,73,4,3,16,0
2,156,74,4,3,16,0
2,160,76,4,3,16,0
2,164,74,2,3,16,0
2,166,73,2,3,16,0
2,168,71,4,3,16,1
2,172,74,4,3,16,0
2,176,73,4,3,16,0
2,180,71,4,3,16,0
2,184,64,6,3,16,0
2,190,74,2,3,16,0
2,192,73,2,3,16,0
2,194,71,2,3,16,0
2,196,69,2,3,16,0
2,198,71,2,3,16,0
2,200,73,4,3,16,0
2,204,71,4,3,16,0
2,208,69,12,3,16,1
3,12,71,4,1,16,0
3,16,72,4,1,16,0
3,20,71,4,1,16,0
3,24,69,4,1,16,0
3,28,76,4,1,16,0
3,32,76,2,1,16,0
3,34,74,2,1,16,0
3,36,72,4,1,16,0
3,40,71,4,1,16,1
3,44,74,4,1,16,0
3,48,72,4,1,16,0
3,52,71,4,1,16,0
3,56,69,4,1,16,0
3,60,71,2,1,16,0
3,62,72,1,1,16,0
3,63,74,1,1,16,0
3,64,72,4,1,16,0
3,68,71,4,1,16,0
3,72,69,4,1,16,1
3,76,69,4,1,16,0
3,80,71,2,1,16,0
3,82,69,2,1,16,0
3,84,67,4,1,16,0
3,88,66,4,1,16,0
3,92,64,2,1,16,0
3,94,66,2,1,16,0
3,96,67,4,1,16,0
3,100,69,4,1,16,0
3,104,71,4,1,16,1
3,108,67,4,1,16,0
3,112,69,2,1,16,0
3,114,71,2,1,16,0
3,116,72,4,1,16,0
3,120,71,4,1,16,0
3,124,72,2,1,16,0
3,126,71,2,1,16,0
3,128,69,4,1,16,0
3,132,68,4,1,16,0
3,136,69,4,1,16,1
3,140,69,4,1,16,0
3,144,76,4,1,16,0
3,148,72,4,1,16,0
3,152,74,4,1,16,0
3,156,76,4,1,16,0
3,160,74,4,1,16,0
3,164,72,4,1,16,0
3,168,71,4,1,16,1
4,12,71,4,4,16,0
4,16,71,4,4,16,0
4,20,71,4,4,16,0
4,24,71,4,4,16,0
4,28,74,4,4,16,0
4,32,73,4,4,16,0
4,36,71,4,4,16,0
4,40,69,4,4,16,1
4,44,71,4,4,16,0
4,48,68,4,4,16,0
4,52,64,2,4,16,0
4,54,66,2,4,16,0
4,56,68,4,4,16,0
4,60,70,4,4,16,0
4,64,71,4,4,16,0
4,68,73,4,4,16,0
4,72,71,4,4,16,1
4,76,71,4,4,16,0
4,80,76,4,4,16,0
4,84,75,4,4,16,0
4,88,73,4,4,16,0
4,92,75,4,4,16,0
4,96,76,2,4,16,0
4,98,75,2,4,16,0
4,100,73,4,4,16,0
4,104,71,4,4,16,1
4,108,71,4,4,16,0
4,112,76,4,4,16,0
4,116,71,4,4,16,0
4,120,73,4,4,16,0
4,124,68,2,4,16,0
4,126,69,2,4,16,0
4,128,71,4,4,16,0
4,132,69,4,4,16,0
4,136,68,4,4,16,1
4,140,68,4,4,16,0
4,144,66,4,4,16,0
4,148,69,4,4,16,0
4,152,68,4,4,16,0
4,156,66,4,4,16,0
4,160,61,4,4,16,0
4,164,63,4,4,16,0
4,168,64,4,4,16,1
5,12,74,4,1,16,0
5,16,76,4,1,16,0
5,20,74,2,1,16,0
5,22,72,2,1,16,0
5,24,71,2,1,16,0
5,26,72,2,1,16,0
5,28,74,4,1,16,0
5,32,72,2,1,16,0
5,34,71,2,1,16,0
5,36,72,4,1,16,0
5,40,71,4,1,16,1
5,44,69,4,1,16,0
5,48,71,4,1,16,0
5,52,72,4,1,16,0
5,56,74,4,1,16,0
5,60,72,2,1,16,0
5,62,71,2,1,16,0
5,64,69,2,1,16,0
5,66,67,2,1,16,0
5,68,69,4,1,16,0
5,72,67,4,1,16,1
5,76,67,4,1,16,0
5,80,69,4,1,16,0
5,84,71,4,1,16,0
5,88,72,2,1,16,0
5,90,71,2,1,16,0
5,92,69,4,1,16,0
5,96,71,4,1,16,0
5,100,69,4,1,16,0
5,104,67,4,1,16,1
5,108,67,2,1,16,0
5,110,69,2,1,16,0
5,112,71,4,1,16,0
5,116,72,4,1,16,0
5,120,74,4,1,16,0
5,124,76,4,1,16,0
5,128,71,4,1,16,0
5,132,73,4,1,16,0
5,136,74,4,1,16,1
5,140,71,2,1,16,0
5,142,72,2,1,16,0
5,144,74,4,1,16,0
5,148,76,4,1,16,0
5,152,74,2,1,16,0
5,154,72,2,1,16,0
5,156,71,4,1,16,0
5,160,72,8,1,16,0
5,168,71,4,1,16,1
5,172,76,4,1,16,0
5,176,76,4,1,16,0
5,180,76,4,1,16,0
5,184,69,4,1,16,0
5,188,74,4,1,16,0
5,192,72,4,1,16,0
5,196,71,4,1,16,0
5,200,69,4,1,16,1
5,204,72,4,1,16,0
5,208,71,4,1,16,0
5,212,69,4,1,16,0
5,216,67,4,1,16,0
5,220,69,2,1,16,0
5,222,67,2,1,16,0
5,224,65,4,1,16,0
5,228,64,4,1,16,0
5,232,62,4,1,16,1
5,236,62,4,1,16,0
5,240,67,4,1,16,0
5,244,69,4,1,16,0
5,248,71,6,1,16,0
5,254,72,2,1,16,0
5,256,74,4,1,16,0
5,260,72,2,1,16,0
5,262,71,2,1,16,0
5,264,69,4,1,16,0
5,268,71,2,1,16,0
5,270,72,2,1,16,0
5,272,69,8,1,16,0
5,280,67,4,1,16,1
6,12,65,4,-1,16,0
6,16,69,4,-1,16,0
6,20,67,4,-1,16,0
6,24,69,4,-1,16,0
6,28,70,4,-1,16,0
6,32,72,8,-1,16,0
6,40,69,4,-1,16,1
6,44,74,4,-1,16,0
6,48,72,4,-1,16,0
6,52,70,4,-1,16,0
6,56,69,4,-1,16,0
6,60,67,4,-1,16,0
6,64,69,8,-1,16,1
6,76,72,4,-1,16,0
6,80,74,4,-1,16,0
6,84,76,4,-1,16,0
6,88,77,4,-1,16,0
6,92,76,4,-1,16,0
6,96,74,8,-1,16,0
6,104,72,4,-1,16,1
6,108,69,4,-1,16,0
6,112,70,4,-1,16,0
6,116,69,4,-1,16,0
6,120,67,4,-1,16,0
6,124,67,4,-1,16,0
6,128,65,12,-1,16,1
7,8,69,4,3,12,0
7,12,69,8,3,12,0
7,20,68,4,3,12,0
7,24,66,8,3,12,0
7,32,64,4,3,12,0
7,36,69,4,3,12,0
7,40,71,8,3,12,0
7,48,73,8,3,12,1
7,56,73,4,3,12,0
7,60,73,4,3,12,0
7,64,71,4,3,12,0
7,68,73,4,3,12,0
7,72,73,8,3,12,0
7,80,71,4,3,12,0
7,84,69,4,3,12,0
7,88,71,8,3,12,0
7,96,69,8,3,12,1
7,104,69,4,3,12,0
7,108,69,4,3,12,0
7,112,71,4,3,12,0
7,116,73,4,3,12,0
7,120,71,8,3,12,0
7,128,73,4,3,12,0
7,132,69,4,3,12,0
7,136,68,8,3,12,0
7,144,66,8,3,12,1
7,152,71,4,3,12,0
7,156,71,4,3,12,0
7,160,69,4,3,12,0
7,164,68,4,3,12,0
7,168,69,4,3,12,0
7,172,66,8,3,12,0
7,180,64,8,3,12,1
7,188,64,4,3,12,0
7,192,69,8,3,12,0
7,200,69,4,3,12,0
7,204,71,8,3,12,0
7,212,71,4,3,12,0
7,216,73,6,3,12,0
7,222,71,2,3,12,0
7,224,73,4,3,12,0
7,228,69,8,3,12,1
7,236,69,4,3,12,0
7,240,74,8,3,12,0
7,248,74,4,3,12,0
7,252,73,4,3,12,0
7,256,71,4,3,12,0
7,260,73,4,3,12,0
7,264,71,8,3,12,1
7,272,71,4,3,12,0
7,276,73,8,3,12,0
7,284,73,4,3,12,0
7,288,74,8,3,12,0
7,296,74,4,3,12,0
7,300,76,12,3,12,0
7,312,69,8,3,12,1
7,320,73,4,3,12,0
7,324,71,4,3,12,0
7,328,69,4,3,12,0
7,332,68,4,3,12,0
7,336,69,4,3,12,0
7,340,66,8,3,12,0
7,348,64,8,3,12,1
7,356,64,4,3,12,0
7,360,69,8,3,12,0
7,368,68,4,3,12,0
7,372,66,8,3,12,0
7,380,64,4,3,12,0
7,384,71,4,3,12,0
7,388,73,8,3,12,0
7,396,71,8,3,12,1
7,404,73,4,3,12,0
7,408,74,8,3,12,0
7,416,73,4,3,12,0
7,420,71,4,3,12,0
7,424,69,2,3,12,0
7,426,68,2,3,12,0
7,428,69,2,3,12,0
7,430,71,2,3,12,0
7,432,73,4,3,12,0
7,436,71,8,3,12,0
7,444,69,8,3,12,1
8,0,72,4,-4,16,0
8,4,72,4,-4,16,0
8,8,70,4,-4,16,0
8,12,68,4,-4,16,0
8,16,67,6,-4,16,0
8,22,65,2,-4,16,0
8,24,65,4,-4,16,0
8,28,65,4,-4,16,1
8,32,68,6,-4,16,0
8,38,70,2,-4,16,0
8,40,72,4,-4,16,0
8,44,72,4,-4,16,0
8,48,70,6,-4,16,0
8,54,68,2,-4,16,0
8,56,68,8,-4,16,1
8,64,68,4,-4,16,0
8,68,70,4,-4,16,0
8,72,70,4,-4,16,0
8,76,68,4,-4,16,0
8,80,67,6,-4,16,0
8,86,65,2,-4,16,0
8,88,65,8,-4,16,1
8,96,72,4,-4,16,0
8,100,72,4,-4,16,0
8,104,73,4,-4,16,0
8,108,73,4,-4,16,0
8,112,70,4,-4,16,0
8,116,70,4,-4,16,0
8,120,72,4,-4,16,0
8,124,72,4,-4,16,1
8,128,68,4,-4,16,0
8,132,68,4,-4,16,0
8,136,73,4,-4,16,0
8,140,73,4,-4,16,0
8,144,72,4,-4,16,0
8,148,72,4,-4,16,0
8,152,70,8,-4,16,1
8,160,67,4,-4,16,0
8,164,68,4,-4,16,0
8,168,70,4,-4,16,0
8,172,68,4,-4,16,0
8,176,67,4,-4,16,0
8,180,67,4,-4,16,0
8,184,65,8,-4,16,1
8,192,77,4,-4,16,0
8,196,77,4,-4,16,0
8,200,75,4,-4,16,0
8,204,75,4,-4,16,0
8,208,74,4,-4,16,0
8,212,74,4,-4,16,0
8,216,72,4,-4,16,0
8,220,72,4,-4,16,1
8,224,72,4,-4,16,0
8,228,72,4,-4,16,0
8,232,73,4,-4,16,0
8,236,72,4,-4,16,0
8,240,70,6,-4,16,0
8,246,68,2,-4,16,0
8,248,68,4,-4,16,0
8,252,68,4,-4,16,1
8,256,68,4,-4,16,0
8,260,68,4,-4,16,0
8,264,73,4,-4,16,0
8,268,73,4,-4,16,0
8,272,70,4,-4,16,0
8,276,70,4,-4,16,0
8,280,75,4,-4,16,0
8,284,75,4,-4,16,0
8,288,72,4,-4,16,0
8,292,72,4,-4,16,0
8,296,77,4,-4,16,0
8,300,77,4,-4,16,0
8,304,76,4,-4,16,0
8,308,76,4,-4,16,0
8,312,77,4,-4,16,0
8,316,77,4,-4,16,1
9,12,67,4,1,16,0
9,16,67,4,1,16,0
9,20,69,4,1,16,0
9,24,71,2,1,16,0
9,26,73,2,1,16,0
9,28,74,4,1,16,0
9,32,74,4,1,16,0
9,36,73,4,1,16,0
9,40,74,4,1,16,1
9,44,71,4,1,16,0
9,48,72,4,1,16,0
9,52,71,4,1,16,0
9,56,69,4,1,16,0
9,60,71,4,1,16,0
9,64,69,8,1,16,0
9,72,67,4,1,16,1
9,76,69,4,1,16,0
9,80,69,4,1,16,0
9,84,71,4,1,16,0
9,88,72,4,1,16,0
9,92,72,4,1,16,0
9,96,71,2,1,16,0
9,98,69,2,1,16,0
9,100,71,4,1,16,0
9,104,69,4,1,16,1
9,108,71,4,1,16,0
9,112,71,4,1,16,0
9,116,71,4,1,16,0
9,120,72,2,1,16,0
9,122,74,2,1,16,0
9,124,76,4,1,16,0
9,128,76,4,1,16,0
9,132,75,4,1,16,0
9,136,76,4,1,16,1
9,140,78,4,1,16,0
9,144,79,4,1,16,0
9,148,71,4,1,16,0
9,152,72,4,1,16,0
9,156,71,4,1,16,0
9,160,69,8,1,16,0
9,168,69,4,1,16,1
9,172,74,4,1,16,0
9,176,76,4,1,16,0
9,180,74,4,1,16,0
9,184,72,4,1,16,0
9,188,71,2,1,16,0
9,190,72,2,1,16,0
9,192,69,8,1,16,0
9,200,67,4,1,16,1
10,0,71,8,0,16,0
10,8,64,4,0,16,0
10,12,71,4,0,16,0
10,16,72,4,0,16,0
10,20,71,2,0,16,0
10,22,69,2,0,16,0
10,24,67,4,0,16,0
10,28,69,4,0,16,0
10,32,71,8,0,16,1
10,40,71,8,0,16,0
10,48,72,4,0,16,0
10,52,74,4,0,16,0
10,56,72,2,0,16,0
10,58,71,2,0,16,0
10,60,69,4,0,16,0
10,64,67,4,0,16,0
10,68,65,4,0,16,0
10,72,64,8,0,16,1
10,80,69,8,0,16,0
10,88,67,4,0,16,0
10,92,72,4,0,16,0
10,96,71,4,0,16,0
10,100,69,4,0,16,0
10,104,74,2,0,16,0
10,106,72,2,0,16,0
10,108,71,4,0,16,0
10,112,69,8,0,16,1
10,120,72,8,0,16,0
10,128,71,4,0,16,0
10,132,72,4,0,16,0
10,136,74,4,0,16,0
10,140,67,4,0,16,0
10,144,71,4,0,16,0
10,148,69,4,0,16,0
10,152,67,8,0,16,1
10,160,67,8,0,16,0
10,168,72,4,0,16,0
10,172,71,4,0,16,0
10,176,69,4,0,16,0
10,180,64,4,0,16,0
10,184,67,4,0,16,0
10,188,65,4,0,16,0
10,192,64,16,0,16,1
12,8,69,4,0,12,0
12,12,69,8,0,12,0
12,20,69,4,0,12,0
12,24,71,8,0,12,0
12,32,71,4,0,12,0
12,36,72,4,0,12,0
12,40,71,4,0,12,0
12,44,69,4,0,12,0
12,48,67,12,0,12,1
12,60,72,8,0,12,0
12,68,74,4,0,12,0
12,72,72,8,0,12,0
12,80,71,4,0,12,0
12,84,72,8,0,12,1
12,92,72,4,0,12,0
12,96,72,8,0,12,0
12,104,72,4,0,12,0
12,108,71,8,0,12,0
12,116,69,4,0,12,0
12,120,69,4,0,12,0
12,124,71,4,0,12,0
12,128,68,4,0,12,0
12,132,69,8,0,12,1
12,140,69,4,0,12,0
12,144,67,8,0,12,0
12,152,69,4,0,12,0
12,156,71,8,0,12,0
12,164,71,4,0,12,0
12,168,72,8,0,12,0
12,176,71,4,0,12,0
12,180,69,8,0,12,0
12,188,68,4,0,12,0
12,192,69,8,0,12,1
17,0,64,4,4,12,0
17,4,64,4,4,12,0
17,8,64,4,4,12,0
17,12,71,8,4,12,0
17,20,73,4,4,12,0
17,24,74,4,4,12,0
17,28,73,4,4,12,0
17,32,71,4,4,12,0
17,36,69,12,4,12,1
17,48,71,4,4,12,0
17,52,73,4,4,12,0
17,56,75,4,4,12,0
17,60,76,8,4,12,0
17,68,71,4,4,12,0
17,72,74,4,4,12,0
17,76,73,8,4,12,0
17,84,71,8,4,12,1
17,92,71,4,4,12,0
17,96,74,4,4,12,0
17,100,72,4,4,12,0
17,104,71,4,4,12,0
17,108,69,4,4,12,0
17,112,67,4,4,12,0
17,116,66,4,4,12,0
17,120,67,4,4,12,0
17,124,64,8,4,12,0
17,132,62,8,4,12,1
17,140,62,4,4,12,0
17,144,67,8,4,12,0
17,152,69,4,4,12,0
17,156,71,8,4,12,0
17,164,69,4,4,12,0
17,168,67,4,4,12,0
17,172,74,8,4,12,0
17,180,71,8,4,12,1
17,188,69,4,4,12,0
17,192,67,4,4,12,0
17,196,66,8,4,12,0
17,204,64,12,4,12,1
19,12,67,4,-2,16,0
19,16,67,4,-2,16,0
19,20,67,4,-2,16,0
19,24,66,4,-2,16,0
19,28,70,4,-2,16,0
19,32,69,4,-2,16,0
19,36,67,4,-2,16,0
19,40,66,4,-2,16,1
19,44,66,4,-2,16,0
19,48,66,4,-2,16,0
19,52,66,4,-2,16,0
19,56,67,4,-2,16,0
19,60,64,4,-2,16,0
19,64,66,4,-2,16,0
19,68,66,4,-2,16,0
19,72,67,4,-2,16,1
19,76,69,4,-2,16,0
19,80,69,4,-2,16,0
19,84,72,4,-2,16,0
19,88,69,4,-2,16,0
19,92,65,4,-2,16,0
19,96,67,4,-2,16,0
19,100,69,4,-2,16,0
19,104,70,4,-2,16,1
19,108,70,4,-2,16,0
19,112,69,4,-2,16,0
19,116,67,4,-2,16,0
19,120,66,4,-2,16,1
19,124,66,4,-2,16,0
19,128,66,4,-2,16,0
19,132,66,4,-2,16,0
19,136,67,4,-2,16,0
19,140,64,4,-2,16,0
19,144,66,4,-2,16,0
19,148,66,4,-2,16,0
19,152,67,4,-2,16,1
20,12,74,4,2,16,0
20,16,74,4,2,16,0
20,20,74,4,2,16,0
20,24,69,2,2,16,0
20,26,71,2,2,16,0
20,28,73,4,2,16,0
20,32,74,2,2,16,0
20,34,73,2,2,16,0
20,36,71,4,2,16,0
20,40,69,4,2,16,1
20,44,74,4,2,16,0
20,48,73,4,2,16,0
20,52,71,4,2,16,0
20,56,69,4,2,16,0
20,60,71,4,2,16,0
20,64,67,2,2,16,0
20,66,66,2,2,16,0
20,68,64,4,2,16,0
20,72,62,4,2,16,1
20,76,62,4,2,16,0
20,80,69,4,2,16,0
20,84,71,4,2,16,0
20,88,69,4,2,16,0
20,92,68,4,2,16,0
20,96,69,8,2,16,1
20,104,62,4,2,16,0
20,108,69,4,2,16,0
20,112,71,4,2,16,0
20,116,73,4,2,16,0
20,120,74,4,2,16,1
20,124,73,4,2,16,0
20,128,74,2,2,16,0
20,130,73,2,2,16,0
20,132,71,4,2,16,0
20,136,69,4,2,16,1
20,140,71,4,2,16,0
20,144,71,4,2,16,0
20,148,69,4,2,16,0
20,152,71,2,2,16,0
20,154,69,2,2,16,0
20,156,67,4,2,16,0
20,160,66,4,2,16,1
20,164,74,4,2,16,0
20,168,73,4,2,16,0
20,172,71,4,2,16,0
20,176,69,4,2,16,0
20,180,71,2,2,16,0
20,182,69,2,2,16,0
20,184,67,4,2,16,0
20,188,66,4,2,16,0
20,192,64,8,2,16,0
20,200,62,4,2,16,1
21,12,64,4,0,16,0
21,16,69,4,0,16,0
21,20,67,4,0,16,0
21,24,65,4,0,16,0
21,28,64,4,0,16,0
21,32,62,8,0,16,0
21,40,64,4,0,16,1
21,44,71,4,0,16,0
21,48,72,4,0,16,0
21,52,72,4,0,16,0
21,56,71,4,0,16,0
21,60,71,4,0,16,0
21,64,69,12,0,16,1
21,76,72,4,0,16,0
21,80,71,4,0,16,0
21,84,67,4,0,16,0
21,88,69,4,0,16,0
21,92,71,4,0,16,0
21,96,72,8,0,16,0
21,104,72,4,0,16,1
21,108,67,4,0,16,0
21,112,69,4,0,16,0
21,116,67,4,0,16,0
21,120,69,4,0,16,0
21,124,65,4,0,16,0
21,128,64,12,0,16,1
21,140,72,4,0,16,0
21,144,71,2,0,16,0
21,146,72,2,0,16,0
21,148,74,4,0,16,0
21,152,72,4,0,16,0
21,156,71,4,0,16,0
21,160,69,8,0,16,0
21,168,71,4,0,16,1
21,172,64,4,0,16,0
21,176,65,4,0,16,0
21,180,64,4,0,16,0
21,184,62,4,0,16,0
21,188,67,4,0,16,0
21,192,64,12,0,16,1
22,0,69,4,-1,16,0
22,4,67,4,-1,16,0
22,8,65,4,-1,16,0
22,12,67,4,-1,16,0
22,16,69,2,-1,16,0
22,18,70,2,-1,16,0
22,20,72,4,-1,16,0
22,24,70,8,-1,16,0
22,32,69,8,-1,16,1
22,40,72,4,-1,16,0
22,44,69,4,-1,16,0
22,48,70,4,-1,16,0
22,52,69,2,-1,16,0
22,54,67,2,-1,16,0
22,56,65,2,-1,16,0
22,58,67,2,-1,16,0
22,60,69,4,-1,16,0
22,64,67,8,-1,16,0
22,72,65,8,-1,16,1
22,80,72,4,-1,16,0
22,84,74,2,-1,16,0
22,86,76,2,-1,16,0
22,88,77,4,-1,16,0
22,92,77,4,-1,16,0
22,96,76,2,-1,16,0
22,98,74,2,-1,16,0
22,100,72,2,-1,16,0
22,102,74,2,-1,16,0
22,104,74,8,-1,16,0
22,112,72,8,-1,16,1
22,120,72,4,-1,16,0
22,124,74,2,-1,16,0
22,126,76,2,-1,16,0
22,128,77,4,-1,16,0
22,132,77,4,-1,16,0
22,136,76,2,-1,16,0
22,138,74,2,-1,16,0
22,140,72,2,-1,16,0
22,142,74,2,-1,16,0
22,144,74,8,-1,16,0
22,152,72,8,-1,16,1
22,160,67,4,-1,16,0
22,164,69,4,-1,16,0
22,168,70,4,-1,16,0
22,172,70,4,-1,16,0
22,176,69,2,-1,16,0
22,178,72,2,-1,16,0
22,180,70,2,-1,16,0
22,182,69,2,-1,16,0
22,184,67,4,-1,16,0
22,188,67,4,-1,16,1
22,192,72,4,-1,16,0
22,196,69,4,-1,16,0
22,200,70,4,-1,16,0
22,204,69,2,-1,16,0
22,206,67,2,-1,16,0
22,208,65,2,-1,16,0
22,210,67,2,-1,16,0
22,212,69,4,-1,16,0
22,216,67,8,-1,16,0
22,224,65,16,-1,16,1
24,12,62,4,2,16,0
24,16,69,4,2,16,0
24,20,69,4,2,16,0
24,24,71,4,2,16,0
24,28,73,4,2,16,0
24,32,74,8,2,16,0
24,40,74,4,2,16,1
24,44,78,4,2,16,0
24,48,76,4,2,16,0
24,52,74,4,2,16,0
24,56,74,4,2,16,0
24,60,73,4,2,16,0
24,64,74,12,2,16,1
24,76,74,2,2,16,0
24,78,76,2,2,16,0
24,80,78,4,2,16,0
24,84,78,4,2,16,0
24,88,76,6,2,16,0
24,94,74,2,2,16,0
24,96,73,2,2,16,0
24,98,71,2,2,16,0
24,100,73,4,2,16,0
24,104,69,4,2,16,1
24,108,73,4,2,16,0
24,112,74,4,2,16,0
24,116,73,4,2,16,0
24,120,71,4,2,16,0
24,124,71,4,2,16,0
24,128,69,12,2,16,1
24,140,69,4,2,16,0
24,144,66,2,2,16,0
24,146,67,2,2,16,0
24,148,69,4,2,16,0
24,152,71,4,2,16,0
24,156,69,4,2,16,0
24,160,69,4,2,16,0
24,164,67,2,2,16,0
24,166,66,2,2,16,0
24,168,66,4,2,16,1
24,172,69,4,2,16,0
24,176,67,4,2,16,0
24,180,66,4,2,16,0
24,184,64,4,2,16,0
24,188,64,4,2,16,0
24,192,62,12,2,16,1
25,12,66,4,3,16,0
25,16,66,4,3,16,0
25,20,68,4,3,16,0
25,24,69,4,3,16,0
25,28,71,4,3,16,0
25,32,73,8,3,16,1
25,44,73,4,3,16,0
25,48,73,6,3,16,0
25,54,71,2,3,16,0
25,56,69,4,3,16,0
25,60,71,4,3,16,0
25,64,68,8,3,16,1
25,76,68,4,3,16,0
25,80,69,4,3,16,0
25,84,71,4,3,16,0
25,88,73,4,3,16,0
25,92,73,4,3,16,0
25,96,71,8,3,16,0
25,104,73,4,3,16,1
25,108,73,4,3,16,0
25,112,69,4,3,16,0
25,116,71,4,3,16,0
25,120,73,4,3,16,0
25,124,74,2,3,16,0
25,126,76,2,3,16,0
25,128,73,4,3,16,0
25,132,71,2,3,16,0
25,134,69,2,3,16,0
25,136,69,4,3,16,1
25,140,73,4,3,16,0
25,144,76,4,3,16,0
25,148,73,4,3,16,0
25,152,73,4,3,16,0
25,156,73,4,3,16,0
25,160,71,8,3,16,0
25,168,71,4,3,16,1
25,172,71,4,3,16,0
25,176,73,6,3,16,0
25,182,71,2,3,16,0
25,184,69,4,3,16,0
25,188,71,2,3,16,0
25,190,69,2,3,16,0
25,192,68,8,3,16,0
25,200,66,4,3,16,1
26,12,65,2,-1,16,0
26,14,67,2,-1,16,0
26,16,69,4,-1,16,0
26,20,70,4,-1,16,0
26,24,72,4,-1,16,0
26,28,72,4,-1,16,0
26,32,74,4,-1,16,0
26,36,76,4,-1,16,0
26,40,77,4,-1,16,1
26,44,65,2,-1,16,0
26,46,67,2,-1,16,0
26,48,69,4,-1,16,0
26,52,70,4,-1,16,0
26,56,72,4,-1,16,0
26,60,72,4,-1,16,0
26,64,70,4,-1,16,0
26,68,69,4,-1,16,0
26,72,67,4,-1,16,1
26,76,69,4,-1,16,0
26,80,65,4,-1,16,0
26,84,65,4,-1,16,0
26,88,70,4,-1,16,0
26,92,69,4,-1,16,0
26,96,67,8,-1,16,0
26,104,65,4,-1,16,1
26,108,72,4,-1,16,0
26,112,67,4,-1,16,0
26,116,69,4,-1,16,0
26,120,70,4,-1,16,0
26,124,70,4,-1,16,0
26,128,69,4,-1,16,0
26,132,69,4,-1,16,0
26,136,67,4,-1,16,1
26,140,72,4,-1,16,0
26,144,74,4,-1,16,0
26,148,76,4,-1,16,0
26,152,77,4,-1,16,0
26,156,69,4,-1,16,0
26,160,67,4,-1,16,0
26,164,67,4,-1,16,0
26,168,65,4,-1,16,1
27,12,70,4,-2,16,0
27,16,70,4,-2,16,0
27,20,69,2,-2,16,0
27,22,67,2,-2,16,0
27,24,65,4,-2,16,0
27,28,70,4,-2,16,0
27,32,72,4,-2,16,0
27,36,74,4,-2,16,0
27,40,70,4,-2,16,1
27,44,65,4,-2,16,0
27,48,70,4,-2,16,0
27,52,72,4,-2,16,0
27,56,74,4,-2,16,0
27,60,75,4,-2,16,0
27,64,72,2,-2,16,0
27,66,70,2,-2,16,0
27,68,72,4,-2,16,0
27,72,70,4,-2,16,1
27,76,70,4,-2,16,0
27,80,67,4,-2,16,0
27,84,69,4,-2,16,0
27,88,70,2,-2,16,0
